Casaubon,Kaibel
1.1a,1.1
1.1b,1.1
1.1c,1.1
1.1c,1.2
1.1d,1.2
1.1e,1.2
1.1f,1.2
1.1f,1.3
1.2a,1.3
1.2b,1.3
1.2b,1.4
1.2c,1.4
1.2d,1.4
1.3a,1.4
1.3b,1.4
1.3c,1.4
1.3d,1.4
1.3d,1.5
1.3e,1.5
1.3f,1.5
1.4a,1.5
1.4a,1.6
1.4b,1.6
1.4c,1.6
1.4d,1.6
1.4d,1.7
1.4e,1.7
1.4f,1.7
1.5a,1.7
1.5a,1.8
1.5b,1.8
1.5c,1.8
1.5d,1.8
1.5d,1.9
1.5e,1.9
1.5f,1.9
1.6a,1.9
1.6b,1.9
1.6b,1.10
1.6c,1.10
1.6d,1.10
1.6e,1.11
1.6f,1.11
1.7a,1.11
1.7a,1.12
1.7b,1.12
1.7c,1.12
1.7d,1.13
1.7e,1.13
1.7f,1.13
1.7f,1.14
1.8a,1.14
1.8b,1.14
1.8c,1.14
1.8d,1.14
1.8e,1.14
1.8e,1.15
1.8f,1.15
1.9a,1.15
1.9b,1.15
1.9c,1.15
1.9c,1.16
1.9d,1.16
1.9e,1.16
1.9f,1.16
1.10a,1.16
1.10a,1.17
1.10b,1.17
1.10c,1.17
1.10d,1.17
1.10d,1.18
1.10e,1.18
1.10f,1.18
1.11a,1.18
1.11b,1.18
1.11b,1.19
1.11c,1.19
1.11d,1.19
1.11e,1.19
1.11f,1.19
1.11f,1.20
1.12a,1.20
1.12b,1.20
1.12c,1.20
1.12c,1.21
1.12d,1.21
1.12e,1.21
1.12f,1.21
1.13a,1.21
1.13a,1.22
1.13b,1.22
1.13c,1.22
1.13d,1.22
1.13d,1.23
1.13e,1.23
1.13f,1.23
1.14a,1.23
1.14a,1.24
1.14b,1.24
1.14c,1.24
1.14d,1.24
1.14d,1.25
1.14e,1.25
1.14f,1.25
1.14f,1.26
1.15a,1.26
1.15b,1.26
1.15c,1.26
1.15c,1.27
1.15d,1.27
1.15e,1.27
1.15f,1.27
1.16a,1.27
1.16a,1.28
1.16b,1.28
1.16c,1.28
1.16d,1.28
1.16e,1.28
1.16e,1.29
1.16f,1.29
1.17a,1.29
1.17b,1.29
1.17c,1.29
1.17c,1.30
1.17d,1.30
1.17e,1.30
1.17f,1.30
1.17f,1.31
1.18a,1.31
1.18b,1.31
1.18b,1.32
1.18c,1.32
1.18d,1.32
1.18e,1.32
1.18e,1.33
1.18f,1.33
1.19a,1.33
1.19a,1.34
1.19b,1.34
1.19c,1.34
1.19d,1.34
1.19d,1.35
1.19e,1.35
1.19f,1.35
1.20a,1.35
1.20b,1.35
1.20b,1.36
1.20c,1.36
1.20d,1.36
1.20d,1.37
1.20e,1.37
1.20f,1.37
1.21a,1.37
1.21a,1.38
1.21b,1.38
1.21c,1.38
1.21d,1.38
1.21d,1.39
1.21e,1.39
1.21f,1.39
1.22a,1.39
1.22b,1.39
1.22b,1.40
1.22c,1.40
1.22d,1.40
1.22d,1.41
1.22e,1.41
1.22f,1.41
1.23a,1.41
1.23b,1.41
1.23b,1.42
1.23c,1.42
1.23d,1.42
1.23e,1.42
1.23e,1.43
1.23f,1.43
1.24a,1.43
1.24b,1.43
1.24b,1.44
1.24c,1.44
1.24d,1.44
1.24e,1.44
1.24e,1.45
1.24f,1.45
1.25a,1.45
1.25b,1.45
1.25b,1.46
1.25c,1.46
1.25d,1.46
1.25e,1.46
1.25f,1.46
1.25f,1.47
1.26a,1.47
1.26b,1.47
1.26c,1.47
1.26c,1.48
1.26d,1.48
1.26e,1.48
1.26f,1.48
1.27a,1.48
1.27b,1.48
1.27c,1.48
1.27d,1.48
1.27d,1.49
1.27e,1.49
1.27f,1.49
1.28a,1.49
1.28a,1.50
1.28b,1.50
1.28c,1.50
1.28d,1.50
1.28d,1.51
1.28e,1.51
1.28f,1.51
1.29a,1.52
1.29b,1.52
1.29c,1.52
1.29d,1.52
1.29d,1.53
1.29e,1.53
1.29f,1.53
1.29f,1.54
1.30a,1.54
1.30b,1.54
1.30b,1.55
1.30c,1.55
1.30d,1.55
1.30e,1.55
1.30e,1.56
1.30f,1.56
1.31a,1.56
1.31b,1.56
1.31c,1.56
1.31c,1.57
1.31d,1.57
1.31e,1.57
1.31f,1.57
1.31f,1.58
1.32a,1.58
1.32b,1.58
1.32c,1.58
1.32c,1.59
1.32d,1.59
1.32e,1.59
1.32f,1.59
1.33a,1.59
1.33b,1.59
1.33c,1.59
1.33c,1.60
1.33d,1.60
1.33e,1.60
1.33f,1.60
1.34a,1.60
1.34a,1.61
1.34b,1.61
1.34c,1.62
1.34d,1.62
1.34e,1.62
2.35a,2.1
2.35b,2.1
2.35c,2.1
2.35c,2.2
2.35d,2.2
2.35e,2.2
2.36a,2.2
2.36b,2.2
2.36b,2.3
2.36c,2.3
2.36d,2.3
2.36d,2.4
2.36e,2.4
2.36f,2.4
2.37a,2.4
2.37b,2.4
2.37b,2.5
2.37c,2.5
2.37d,2.5
2.37e,2.5
2.37e,2.6
2.37f,2.6
2.38a,2.6
2.38b,2.6
2.38c,2.6
2.38c,2.7
2.38d,2.7
2.38e,2.7
2.38f,2.7
2.38f,2.8
2.39a,2.8
2.39b,2.8
2.39b,2.9
2.39c,2.9
2.39d,2.9
2.39e,2.9
2.39e,2.10
2.39f,2.10
2.40a,2.10
2.40a,2.11
2.40b,2.11
2.40c,2.11
2.40d,2.11
2.40d,2.12
2.40e,2.12
2.40f,2.12
2.40f,2.13
2.41a,2.13
2.41b,2.13
2.41b,2.14
2.41c,2.14
2.41d,2.14
2.41d,2.15
2.41e,2.15
2.41f,2.15
2.42a,2.15
2.42a,2.16
2.42b,2.16
2.42c,2.16
2.42d,2.16
2.42e,2.16
2.42e,2.17
2.42f,2.17
2.43a,2.17
2.43b,2.17
2.43b,2.18
2.43c,2.18
2.43d,2.18
2.43d,2.19
2.43e,2.19
2.43f,2.19
2.43f,2.20
2.44a,2.20
2.44b,2.20
2.44b,2.21
2.44c,2.21
2.44d,2.21
2.44d,2.22
2.44e,2.22
2.44f,2.22
2.45a,2.22
2.45a,2.23
2.45b,2.23
2.45c,2.23
2.45d,2.23
2.45d,2.24
2.45e,2.24
2.45f,2.24
2.46a,2.24
2.46a,2.25
2.46b,2.25
2.46c,2.25
2.46d,2.25
2.46d,2.26
2.46e,2.26
2.46f,2.26
2.47a,2.26
2.47a,2.27
2.47b,2.27
2.47c,2.27
2.47c,2.28
2.47d,2.28
2.47e,2.28
2.47e,2.29
2.47f,2.29
2.48a,2.29
2.48a,2.30
2.48b,2.30
2.48c,2.30
2.48c,2.31
2.48d,2.31
2.48e,2.31
2.48f,2.31
2.49a,2.31
2.49a,2.32
2.49b,2.32
2.49c,2.32
2.49d,2.32
2.49d,2.33
2.49e,2.33
2.49f,2.33
2.50a,2.33
2.50b,2.33
2.50b,2.34
2.50c,2.34
2.50d,2.34
2.50d,2.35
2.50e,2.35
2.50f,2.35
2.51a,2.35
2.51b,2.35
2.51b,2.36
2.51c,2.36
2.51d,2.36
2.51e,2.36
2.51e,2.37
2.51f,2.37
2.52a,2.37
2.52a,2.38
2.52b,2.38
2.52b,2.39
2.52c,2.39
2.52d,2.39
2.52e,2.39
2.52f,2.39
2.52f,2.40
2.53a,2.40
2.53b,2.40
2.53b,2.41
2.53c,2.41
2.53d,2.41
2.53d,2.42
2.53e,2.42
2.53f,2.42
2.54a,2.42
2.54b,2.42
2.54b,2.43
2.54c,2.43
2.54d,2.43
2.54e,2.44
2.54f,2.44
2.55a,2.44
2.55b,2.44
2.55c,2.45
2.55d,2.45
2.55e,2.45
2.55f,2.45
2.56a,2.45
2.56a,2.46
2.56a,2.47
2.56b,2.47
2.56c,2.47
2.56d,2.47
2.56d,2.48
2.56e,2.48
2.56f,2.48
2.57a,2.48
2.57b,2.48
2.57b,2.49
2.57c,2.49
2.57d,2.49
2.57d,2.50
2.57e,2.50
2.57f,2.50
2.58a,2.50
2.58b,2.50
2.58b,2.51
2.58c,2.51
2.58d,2.52
2.58e,2.52
2.58f,2.52
2.58f,2.53
2.59a,2.53
2.59b,2.53
2.59c,2.53
2.59c,2.54
2.59d,2.54
2.59e,2.54
2.59f,2.54
2.59f,2.55
2.60a,2.55
2.60b,2.55
2.60b,2.56
2.60c,2.56
2.60d,2.56
2.60e,2.56
2.60e,2.57
2.60f,2.57
2.61a,2.57
2.61b,2.57
2.61c,2.57
2.61c,2.58
2.61c,2.59
2.61d,2.59
2.61e,2.59
2.61f,2.59
2.62a,2.60
2.62b,2.60
2.62c,2.60
2.62d,2.60
2.62d,2.61
2.62d,2.62
2.62e,2.62
2.62f,2.62
2.63a,2.62
2.63a,2.63
2.63b,2.63
2.63c,2.63
2.63d,2.63
2.63d,2.64
2.63e,2.64
2.63f,2.64
2.64a,2.64
2.64a,2.65
2.64b,2.65
2.64b,2.66
2.64c,2.66
2.64d,2.67
2.64e,2.67
2.64f,2.67
2.64f,2.68
2.65a,2.68
2.65b,2.68
2.65b,2.69
2.65c,2.69
2.65c,2.70
2.65d,2.70
2.65d,2.71
2.65e,2.71
2.65f,2.72
2.66a,2.72
2.66b,2.72
2.66c,2.72
2.66c,2.73
2.66d,2.73
2.66e,2.73
2.66f,2.73
2.66f,2.74
2.67a,2.74
2.67b,2.74
2.67b,2.75
2.67c,2.75
2.67c,2.76
2.67d,2.76
2.67e,2.76
2.67f,2.76
2.67f,2.77
2.68a,2.77
2.68b,2.77
2.68c,2.77
2.68c,2.78
2.68d,2.78
2.68e,2.78
2.68f,2.78
2.68f,2.79
2.69a,2.79
2.69b,2.79
2.69b,2.80
2.69c,2.80
2.69d,2.80
2.69e,2.80
2.69e,2.81
2.69f,2.81
2.70a,2.81
2.70a,2.82
2.70b,2.82
2.70c,2.82
2.70d,2.82
2.70d,2.83
2.70e,2.83
2.70f,2.83
2.71a,2.83
2.71a,2.84
2.71b,2.84
2.71c,2.84
2.71c,2.85
2.71d,2.85
2.71e,2.85
2.71e,2.86
2.71f,2.86
3.72a,3.1
3.72b,3.1
3.72c,3.2
3.72d,3.2
3.73a,3.2
3.73b,3.2
3.73b,3.3
3.73c,3.3
3.73d,3.3
3.73d,3.4
3.73e,3.4
3.74a,3.4
3.74a,3.5
3.74b,3.5
3.74c,3.5
3.74c,3.6
3.74d,3.6
3.74e,3.6
3.74f,3.6
3.75a,3.6
3.75a,3.7
3.75b,3.7
3.75c,3.7
3.75d,3.7
3.75e,3.8
3.75f,3.8
3.75f,3.9
3.76a,3.9
3.76b,3.9
3.76c,3.9
3.76c,3.10
3.76d,3.10
3.76e,3.10
3.76e,3.11
3.76f,3.11
3.77a,3.11
3.77b,3.11
3.77c,3.11
3.77c,3.12
3.77d,3.12
3.77e,3.12
3.77e,3.13
3.77f,3.13
3.78a,3.13
3.78a,3.14
3.78b,3.14
3.78c,3.14
3.78d,3.15
3.78e,3.15
3.78f,3.15
3.79a,3.16
3.79b,3.16
3.79c,3.16
3.79d,3.16
3.79e,3.16
3.79e,3.17
3.79f,3.17
3.80a,3.17
3.80a,3.18
3.80b,3.18
3.80b,3.19
3.80c,3.19
3.80d,3.19
3.80e,3.19
3.80e,3.20
3.80f,3.20
3.81a,3.20
3.81b,3.20
3.81c,3.20
3.81d,3.20
3.81d,3.21
3.81e,3.21
3.81e,3.22
3.81f,3.22
3.82a,3.22
3.82b,3.22
3.82b,3.23
3.82c,3.23
3.82d,3.23
3.82e,3.23
3.82e,3.24
3.82f,3.24
3.83a,3.24
3.83a,3.25
3.83b,3.25
3.83c,3.25
3.83d,3.25
3.83d,3.26
3.83e,3.26
3.83f,3.26
3.84a,3.26
3.84a,3.27
3.84b,3.27
3.84c,3.27
3.84c,3.28
3.84d,3.28
3.84e,3.28
3.84f,3.28
3.85a,3.28
3.85a,3.29
3.85b,3.29
3.85c,3.29
3.85c,3.30
3.85d,3.30
3.85e,3.30
3.85e,3.31
3.85f,3.31
3.86a,3.31
3.86b,3.31
3.86b,3.32
3.86c,3.32
3.86d,3.32
3.86e,3.32
3.86f,3.32
3.86f,3.33
3.87a,3.33
3.87b,3.33
3.87c,3.33
3.87c,3.34
3.87d,3.34
3.87e,3.34
3.87f,3.34
3.87f,3.35
3.88a,3.35
3.88b,3.35
3.88c,3.35
3.88d,3.35
3.88d,3.36
3.88e,3.36
3.88f,3.36
3.89a,3.36
3.89a,3.37
3.89b,3.37
3.89c,3.37
